Order_ID,Date,Product,Category,City,Quantity,Price
1001,2025-02-19,Printer,Electronics,Kolkata,3,9591
1002,2025-08-08,Pen,Stationery,Hyderabad,5,318
1003,2025-07-28,Mouse,Electronics,Chennai,1,697
1004,2025-08-15,Chair,Furniture,Ahmedabad,1,3410
1005,2025-04-12,Mouse,Electronics,Mumbai,,624
1006,2025-10-20,Notebook,Stationery,Ahmedabad,4,244
1007,2025-03-05,Table,Furniture,Ahmedabad,2,7253
1008,2025-03-16,Laptop,Electronics,Hyderabad,3,54950
1009,2025-11-22,Bag,Accessories,Ahmedabad,3,1218
1010,2025-08-22,Keyboard,Electronics,Mumbai,2,1432
1011,2025-01-11,Chair,Furniture,Hyderabad,4,3407
1012,2025-10-08,Pen,Stationery,Chennai,3,2
1013,2025-12-30,Chair,Furniture,Kolkata,2,3674
1014,2025-04-09,Table,Furniture,Hyderabad,4,7285
1015,2025-12-25,Chair,Furniture,Pune,5,3693
1016,2025-02-06,Keyboard,Electronics,Kolkata,3,1322
1017,2025-02-25,Sofa,Furniture,Ahmedabad,3,15122
1018,2025-02-01,Mouse,Electronics,Bangalore,3,521
1019,2025-08-13,Pen,Stationery,Delhi,2,107
1020,2025-03-08,Printer,Electronics,Delhi,1,9427
1021,2025-07-16,Laptop,Electronics,Mumbai,5,55083
1022,2025-04-20,Table,Furniture,Mumbai,1,6908
1023,2025-11-12,Monitor,Electronics,Chennai,2,8403
1024,2025-11-06,Chair,Furniture,Chennai,1,3565
1025,2025-07-04,Table,Furniture,Ahmedabad,4,7104
1026,2025-04-22,Bottle,Accessories,Chennai,2,357
1027,2025-02-17,Keyboard,Electronics,Chennai,1,1195
1028,2025-02-05,Notebook,Stationery,Pune,5,107
1029,2025-11-09,Pen,Stationery,Pune,5,155
1030,2025-01-21,Laptop,Electronics,Chennai,4,54961
1031,2025-12-30,Printer,Electronics,Bangalore,5,9576
1032,2025-08-24,Mouse,Electronics,Hyderabad,5,762
1033,2025-04-15,Table,Furniture,Pune,5,6999
1034,2025-04-01,Monitor,Electronics,Hyderabad,5,8453
1035,2025-01-21,Laptop,Electronics,Ahmedabad,1,54996
1036,2025-08-09,Sofa,Furniture,Chennai,1,15276
1037,2025-02-01,Monitor,Electronics,Ahmedabad,5,8479
1038,2025-11-18,Sofa,Furniture,Bangalore,2,14930
1039,2025-08-23,Bottle,Accessories,Bangalore,4,231
1040,2025-12-08,Table,Furniture,Hyderabad,5,7100
1041,2025-07-30,Laptop,Electronics,Mumbai,5,55178
1042,2025-07-15,Pen,Stationery,Chennai,3,184
1043,2025-08-08,Bag,Accessories,Mumbai,1,1414
